Fecha,Hora,Frecuencia cardiaca
2025.04.26 12:10:00,12:10:00,51
2025.04.26 12:14:00,12:14:00,73
2025.04.26 12:20:00,12:20:00,64
2025.04.26 12:21:00,12:21:00,70
2025.04.26 12:22:00,12:22:00,74
2025.04.26 12:24:00,12:24:00,75
2025.04.26 12:25:00,12:25:00,66
2025.04.26 12:26:00,12:26:00,64
2025.04.26 12:30:00,12:30:00,76
2025.04.26 12:31:00,12:31:00,76
2025.04.26 12:32:00,12:32:00,84
2025.04.26 12:33:00,12:33:00,79
2025.04.26 12:36:00,12:36:00,70
2025.04.26 12:37:00,12:37:00,68
2025.04.26 12:38:00,12:38:00,56
2025.04.26 12:44:00,12:44:00,83
2025.04.26 12:45:00,12:45:00,64
2025.04.26 12:46:00,12:46:00,73
2025.04.26 12:47:00,12:47:00,74
2025.04.26 12:48:00,12:48:00,92
2025.04.26 12:49:00,12:49:00,99
2025.04.26 12:50:00,12:50:00,87
2025.04.26 12:51:00,12:51:00,63
2025.04.26 12:59:00,12:59:00,56
2025.04.26 13:00:00,13:00:00,102
2025.04.26 13:02:00,13:02:00,82
2025.04.26 13:03:00,13:03:00,78
2025.04.26 13:04:00,13:04:00,81
2025.04.26 13:05:00,13:05:00,90
2025.04.26 13:06:00,13:06:00,66
2025.04.26 13:07:00,13:07:00,78
2025.04.26 13:08:00,13:08:00,77
2025.04.26 13:09:00,13:09:00,97
2025.04.26 14:02:00,14:02:00,71
2025.04.26 14:03:00,14:03:00,56
2025.04.26 14:04:00,14:04:00,56
2025.04.26 14:13:00,14:13:00,55
2025.04.26 14:14:00,14:14:00,96
2025.04.26 14:15:00,14:15:00,107
2025.04.26 14:16:00,14:16:00,116
2025.04.26 14:17:00,14:17:00,84
2025.04.26 14:18:00,14:18:00,88
2025.04.26 14:20:00,14:20:00,87
2025.04.26 14:21:00,14:21:00,74
2025.04.26 14:22:00,14:22:00,76
2025.04.26 14:23:00,14:23:00,90
2025.04.26 14:24:00,14:24:00,68
2025.04.26 14:25:00,14:25:00,92
2025.04.26 14:26:00,14:26:00,85
2025.04.26 14:27:00,14:27:00,84
2025.04.26 14:30:00,14:30:00,91
2025.04.26 14:31:00,14:31:00,66
2025.04.26 14:32:00,14:32:00,69
2025.04.26 14:33:00,14:33:00,96
2025.04.26 14:34:00,14:34:00,76
2025.04.26 14:45:00,14:45:00,82
2025.04.26 14:47:00,14:47:00,91
2025.04.26 14:48:00,14:48:00,93
2025.04.26 14:59:00,14:59:00,84
2025.04.26 15:00:00,15:00:00,86
2025.04.26 15:04:00,15:04:00,80
2025.04.26 15:09:00,15:09:00,88
2025.04.26 15:10:00,15:10:00,93
2025.04.26 15:12:00,15:12:00,104
2025.04.26 15:13:00,15:13:00,107
2025.04.26 15:14:00,15:14:00,67
2025.04.26 15:15:00,15:15:00,65
2025.04.26 15:18:00,15:18:00,71
2025.04.26 15:21:00,15:21:00,76
2025.04.26 15:25:00,15:25:00,76
2025.04.26 15:26:00,15:26:00,75
2025.04.26 15:27:00,15:27:00,80
2025.04.26 15:28:00,15:28:00,90
2025.04.26 15:33:00,15:33:00,83
2025.04.26 15:35:00,15:35:00,67
2025.04.26 15:36:00,15:36:00,83
2025.04.26 15:37:00,15:37:00,99
2025.04.26 15:38:00,15:38:00,92
2025.04.26 15:41:00,15:41:00,76
2025.04.26 15:42:00,15:42:00,96
2025.04.26 15:43:00,15:43:00,84
2025.04.26 15:44:00,15:44:00,84
2025.04.26 15:50:00,15:50:00,94
2025.04.26 15:52:00,15:52:00,91
2025.04.26 15:53:00,15:53:00,92
2025.04.26 15:54:00,15:54:00,93
2025.04.26 15:55:00,15:55:00,94
2025.04.26 15:56:00,15:56:00,92
2025.04.26 15:57:00,15:57:00,64
2025.04.26 16:04:00,16:04:00,76
2025.04.26 16:05:00,16:05:00,100
2025.04.26 16:06:00,16:06:00,70
2025.04.26 16:07:00,16:07:00,89
2025.04.26 16:08:00,16:08:00,95
2025.04.26 16:10:00,16:10:00,112
2025.04.26 16:11:00,16:11:00,79
2025.04.26 16:12:00,16:12:00,62
2025.04.26 16:15:00,16:15:00,82
2025.04.26 16:17:00,16:17:00,74
2025.04.26 16:18:00,16:18:00,70
2025.04.26 16:19:00,16:19:00,73
2025.04.26 16:20:00,16:20:00,84
2025.04.26 16:21:00,16:21:00,87
2025.04.26 16:24:00,16:24:00,90
2025.04.26 16:25:00,16:25:00,79
2025.04.26 16:26:00,16:26:00,83
2025.04.26 16:31:00,16:31:00,81
2025.04.26 16:32:00,16:32:00,77
2025.04.26 16:33:00,16:33:00,81
2025.04.26 16:34:00,16:34:00,83
2025.04.26 16:35:00,16:35:00,83
2025.04.26 16:36:00,16:36:00,70
2025.04.26 16:38:00,16:38:00,89
2025.04.26 16:40:00,16:40:00,84
2025.04.26 16:41:00,16:41:00,90
2025.04.26 16:42:00,16:42:00,91
2025.04.26 16:43:00,16:43:00,89
2025.04.26 16:44:00,16:44:00,81
2025.04.26 16:46:00,16:46:00,82
2025.04.26 16:47:00,16:47:00,74
2025.04.26 16:48:00,16:48:00,94
2025.04.26 16:49:00,16:49:00,81
2025.04.26 16:50:00,16:50:00,90
2025.04.26 16:51:00,16:51:00,83
2025.04.26 16:52:00,16:52:00,94
2025.04.26 16:54:00,16:54:00,84
2025.04.26 16:55:00,16:55:00,82
2025.04.26 16:56:00,16:56:00,81
2025.04.26 17:01:00,17:01:00,75
2025.04.26 17:02:00,17:02:00,88
2025.04.26 17:03:00,17:03:00,94
2025.04.26 17:05:00,17:05:00,87
2025.04.26 17:06:00,17:06:00,78
2025.04.26 17:09:00,17:09:00,74
2025.04.26 17:10:00,17:10:00,98
2025.04.26 17:12:00,17:12:00,83
2025.04.26 17:18:00,17:18:00,77
2025.04.26 17:21:00,17:21:00,95
2025.04.26 17:22:00,17:22:00,93
2025.04.26 17:26:00,17:26:00,85
2025.04.26 17:27:00,17:27:00,76
2025.04.26 17:28:00,17:28:00,91
2025.04.26 17:29:00,17:29:00,96
2025.04.26 17:33:00,17:33:00,80
2025.04.26 17:34:00,17:34:00,88
2025.04.26 17:39:00,17:39:00,100
2025.04.26 17:40:00,17:40:00,81
2025.04.26 17:47:00,17:47:00,86
2025.04.26 17:48:00,17:48:00,79
2025.04.26 17:49:00,17:49:00,97
2025.04.26 17:50:00,17:50:00,102
2025.04.26 17:51:00,17:51:00,79
2025.04.26 17:57:00,17:57:00,94
2025.04.26 17:58:00,17:58:00,108
2025.04.26 18:02:00,18:02:00,108
2025.04.26 18:06:00,18:06:00,92
2025.04.26 18:07:00,18:07:00,88
2025.04.26 18:13:00,18:13:00,90
2025.04.26 18:15:00,18:15:00,80
2025.04.26 18:16:00,18:16:00,92
2025.04.26 18:17:00,18:17:00,83
2025.04.26 18:18:00,18:18:00,87
2025.04.26 18:19:00,18:19:00,86
2025.04.26 18:28:00,18:28:00,93
2025.04.26 18:29:00,18:29:00,92
2025.04.26 18:33:00,18:33:00,89
2025.04.26 18:34:00,18:34:00,100
2025.04.26 18:35:00,18:35:00,98
2025.04.26 18:37:00,18:37:00,98
2025.04.26 18:39:00,18:39:00,95
2025.04.26 18:40:00,18:40:00,89
2025.04.26 18:49:00,18:49:00,94
2025.04.26 18:50:00,18:50:00,99
2025.04.26 18:52:00,18:52:00,84
2025.04.26 18:55:00,18:55:00,98
2025.04.26 18:57:00,18:57:00,92
2025.04.26 18:58:00,18:58:00,78
2025.04.26 19:02:00,19:02:00,96
2025.04.26 19:13:00,19:13:00,91
2025.04.26 19:15:00,19:15:00,86
2025.04.26 19:17:00,19:17:00,87
2025.04.26 19:18:00,19:18:00,78
2025.04.26 19:19:00,19:19:00,78
2025.04.26 19:24:00,19:24:00,82
2025.04.26 19:25:00,19:25:00,78
2025.04.26 19:26:00,19:26:00,92
2025.04.26 19:27:00,19:27:00,94
2025.04.26 19:28:00,19:28:00,88
2025.04.26 19:35:00,19:35:00,100
2025.04.26 19:45:00,19:45:00,92
2025.04.26 19:46:00,19:46:00,83
2025.04.26 19:47:00,19:47:00,90
2025.04.26 19:52:00,19:52:00,57
2025.04.26 19:53:00,19:53:00,87
2025.04.26 19:54:00,19:54:00,93
2025.04.26 19:55:00,19:55:00,90
2025.04.26 19:56:00,19:56:00,85
2025.04.26 19:57:00,19:57:00,82
2025.04.26 19:58:00,19:58:00,88
2025.04.26 20:01:00,20:01:00,79
2025.04.26 20:02:00,20:02:00,78
2025.04.26 20:05:00,20:05:00,83
2025.04.26 20:06:00,20:06:00,82
2025.04.26 20:07:00,20:07:00,90
2025.04.26 20:08:00,20:08:00,82
2025.04.26 20:09:00,20:09:00,84
2025.04.26 20:10:00,20:10:00,83
2025.04.26 20:11:00,20:11:00,84
2025.04.26 20:12:00,20:12:00,82
2025.04.26 20:13:00,20:13:00,86
2025.04.26 20:14:00,20:14:00,89
2025.04.26 20:15:00,20:15:00,92
