Fecha,Hora,Pasos
2025.04.15 11:44:00,11:44:00,10
2025.04.15 11:45:00,11:45:00,10
2025.04.15 11:46:00,11:46:00,47
2025.04.15 11:49:00,11:49:00,12
2025.04.15 11:50:00,11:50:00,16
2025.04.15 11:51:00,11:51:00,11
2025.04.15 11:52:00,11:52:00,15
2025.04.15 11:53:00,11:53:00,15
2025.04.15 11:57:00,11:57:00,3
2025.04.15 11:58:00,11:58:00,16
2025.04.15 12:00:00,12:00:00,13
2025.04.15 12:01:00,12:01:00,13
2025.04.15 12:02:00,12:02:00,13
2025.04.15 12:03:00,12:03:00,13
2025.04.15 12:04:00,12:04:00,13
2025.04.15 12:05:00,12:05:00,12
2025.04.15 12:06:00,12:06:00,12
2025.04.15 12:08:00,12:08:00,33
2025.04.15 12:10:00,12:10:00,25
2025.04.15 12:11:00,12:11:00,43
2025.04.15 12:12:00,12:12:00,7
2025.04.15 12:13:00,12:13:00,7
2025.04.15 12:14:00,12:14:00,7
2025.04.15 12:15:00,12:15:00,6
2025.04.15 12:16:00,12:16:00,6
2025.04.15 12:17:00,12:17:00,8
2025.04.15 12:18:00,12:18:00,44
2025.04.15 12:21:00,12:21:00,15
2025.04.15 12:22:00,12:22:00,44
2025.04.15 12:23:00,12:23:00,40
2025.04.15 12:25:00,12:25:00,16
2025.04.15 12:26:00,12:26:00,27
2025.04.15 12:27:00,12:27:00,43
2025.04.15 12:29:00,12:29:00,35
2025.04.15 12:30:00,12:30:00,28
2025.04.15 12:31:00,12:31:00,20
2025.04.15 12:32:00,12:32:00,86
2025.04.15 12:33:00,12:33:00,22
2025.04.15 12:34:00,12:34:00,27
2025.04.15 12:35:00,12:35:00,27
2025.04.15 12:36:00,12:36:00,27
2025.04.15 12:39:00,12:39:00,9
2025.04.15 12:42:00,12:42:00,21
2025.04.15 12:43:00,12:43:00,21
2025.04.15 12:44:00,12:44:00,26
2025.04.15 12:45:00,12:45:00,21
2025.04.15 12:46:00,12:46:00,21
2025.04.15 12:47:00,12:47:00,21
2025.04.15 12:48:00,12:48:00,21
2025.04.15 12:49:00,12:49:00,20
2025.04.15 12:50:00,12:50:00,20
2025.04.15 12:51:00,12:51:00,48
2025.04.15 12:52:00,12:52:00,63
2025.04.15 12:53:00,12:53:00,49
2025.04.15 12:55:00,12:55:00,3
2025.04.15 12:56:00,12:56:00,14
2025.04.15 13:03:00,13:03:00,16
2025.04.15 13:04:00,13:04:00,106
2025.04.15 13:05:00,13:05:00,73
2025.04.15 13:06:00,13:06:00,90
2025.04.15 13:07:00,13:07:00,97
2025.04.15 13:08:00,13:08:00,100
2025.04.15 13:09:00,13:09:00,94
2025.04.15 13:10:00,13:10:00,107
2025.04.15 13:11:00,13:11:00,98
2025.04.15 13:12:00,13:12:00,104
2025.04.15 13:13:00,13:13:00,62
2025.04.15 13:14:00,13:14:00,72
2025.04.15 13:15:00,13:15:00,75
2025.04.15 13:16:00,13:16:00,100
2025.04.15 13:17:00,13:17:00,104
2025.04.15 13:18:00,13:18:00,101
2025.04.15 13:19:00,13:19:00,83
2025.04.15 13:20:00,13:20:00,104
2025.04.15 13:21:00,13:21:00,99
2025.04.15 13:22:00,13:22:00,84
2025.04.15 13:23:00,13:23:00,102
2025.04.15 13:24:00,13:24:00,54
2025.04.15 13:25:00,13:25:00,102
2025.04.15 13:26:00,13:26:00,106
2025.04.15 13:27:00,13:27:00,103
2025.04.15 13:28:00,13:28:00,89
2025.04.15 13:29:00,13:29:00,47
2025.04.15 13:30:00,13:30:00,74
2025.04.15 13:31:00,13:31:00,54
2025.04.15 13:34:00,13:34:00,137
2025.04.15 13:35:00,13:35:00,18
2025.04.15 13:36:00,13:36:00,4
2025.04.15 13:44:00,13:44:00,115
2025.04.15 13:45:00,13:45:00,7
2025.04.15 13:46:00,13:46:00,105
2025.04.15 13:47:00,13:47:00,80
2025.04.15 13:48:00,13:48:00,81
2025.04.15 13:49:00,13:49:00,107
2025.04.15 13:50:00,13:50:00,110
2025.04.15 13:51:00,13:51:00,108
2025.04.15 13:52:00,13:52:00,113
2025.04.15 13:53:00,13:53:00,107
2025.04.15 13:54:00,13:54:00,101
2025.04.15 13:55:00,13:55:00,112
2025.04.15 13:56:00,13:56:00,85
2025.04.15 13:57:00,13:57:00,87
2025.04.15 13:58:00,13:58:00,107
2025.04.15 13:59:00,13:59:00,19
2025.04.15 14:00:00,14:00:00,46
2025.04.15 14:01:00,14:01:00,46
2025.04.15 14:10:00,14:10:00,7
2025.04.15 14:15:00,14:15:00,17
2025.04.15 14:21:00,14:21:00,7
2025.04.15 14:27:00,14:27:00,107
2025.04.15 14:28:00,14:28:00,114
2025.04.15 14:29:00,14:29:00,113
2025.04.15 14:30:00,14:30:00,117
2025.04.15 14:31:00,14:31:00,112
2025.04.15 14:32:00,14:32:00,113
2025.04.15 14:33:00,14:33:00,67
2025.04.15 14:49:00,14:49:00,127
2025.04.15 14:50:00,14:50:00,63
2025.04.15 14:51:00,14:51:00,109
2025.04.15 14:52:00,14:52:00,95
2025.04.15 14:53:00,14:53:00,84
2025.04.15 14:54:00,14:54:00,23
2025.04.15 15:05:00,15:05:00,36
2025.04.15 15:26:00,15:26:00,23
2025.04.15 16:03:00,16:03:00,5
2025.04.15 16:59:00,16:59:00,15
2025.04.15 17:36:00,17:36:00,10
2025.04.15 17:55:00,17:55:00,15
2025.04.15 17:56:00,17:56:00,24
2025.04.15 17:57:00,17:57:00,16
2025.04.15 17:59:00,17:59:00,10
2025.04.15 18:00:00,18:00:00,24
2025.04.15 18:55:00,18:55:00,20
2025.04.15 19:14:00,19:14:00,18
2025.04.15 19:32:00,19:32:00,72
2025.04.15 19:33:00,19:33:00,16
2025.04.15 19:37:00,19:37:00,39
2025.04.15 20:34:00,20:34:00,46
2025.04.15 20:35:00,20:35:00,12
2025.04.15 20:48:00,20:48:00,15
2025.04.15 20:56:00,20:56:00,29
2025.04.15 21:06:00,21:06:00,27
2025.04.15 21:07:00,21:07:00,23
2025.04.15 21:36:00,21:36:00,20
2025.04.15 21:37:00,21:37:00,44
2025.04.15 21:44:00,21:44:00,33
2025.04.15 21:45:00,21:45:00,31
2025.04.15 21:46:00,21:46:00,39
2025.04.15 21:47:00,21:47:00,72
2025.04.15 21:48:00,21:48:00,8
2025.04.15 23:50:00,23:50:00,24
2025.04.16 00:11:00,00:11:00,9
2025.04.16 00:12:00,00:12:00,7
2025.04.16 00:14:00,00:14:00,19
2025.04.16 00:15:00,00:15:00,22
2025.04.16 09:50:00,09:50:00,37
2025.04.16 11:43:00,11:43:00,22
2025.04.16 12:19:00,12:19:00,20
2025.04.16 12:24:00,12:24:00,8
2025.04.16 12:39:00,12:39:00,40
2025.04.16 12:40:00,12:40:00,46
2025.04.16 12:41:00,12:41:00,5
2025.04.16 13:08:00,13:08:00,7
2025.04.16 13:10:00,13:10:00,18
2025.04.16 13:38:00,13:38:00,16
2025.04.16 13:39:00,13:39:00,15
