Fecha,Hora,Pasos
2025.04.26 21:24:00,21:24:00,12
2025.04.26 21:25:00,21:25:00,16
2025.04.26 21:26:00,21:26:00,6
2025.04.26 21:27:00,21:27:00,12
2025.04.26 21:28:00,21:28:00,11
2025.04.26 21:39:00,21:39:00,69
2025.04.26 21:40:00,21:40:00,81
2025.04.26 21:41:00,21:41:00,69
2025.04.26 21:42:00,21:42:00,36
2025.04.26 21:43:00,21:43:00,37
2025.04.26 21:56:00,21:56:00,27
2025.04.26 22:17:00,22:17:00,5
2025.04.26 22:18:00,22:18:00,45
2025.04.26 22:22:00,22:22:00,28
2025.04.26 22:23:00,22:23:00,31
2025.04.26 22:44:00,22:44:00,4
2025.04.26 22:45:00,22:45:00,3
2025.04.26 22:48:00,22:48:00,40
